"ResponseId","HHResponseId","HHCODE","PERCODE","PERNAME","DIARY","DATE","PLANO","PLACE","PLACE_NAME","PLACE_STREET","PLACE_CITY","PLOC0","PLOC","PLOC_LAT","PLOC_LNG","PLOC_ADD","PLOC_PID","PLOC_APPROX","PLOC_GEOID","ARR_HOUR","ARR_MIN","ARR_AMPM","ARR_TIME","ACTIVITY","ACTIVITY_TEXT","LEAVE","NOTRIPS","NOTRIPS_TEXT","DEP_HOUR","DEP_MIN","DEP_AMPM","DEP_TIME","ACT_TIME","MODE","MODE_TEXT","PEOPLE","VEHICLE","VEHICLE_TEXT"
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,3,"Other place","","","","","",NA,NA,"","",FALSE,"490050006002",10,25,"AM",2019-01-16 10:25:00,"Shopping (groceries, clothing, convenience store, etc)","","Yes",NA,"",10,35,"AM",2019-01-16 10:35:00,10,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,4,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",10,40,"AM",2019-01-16 10:40:00,"Home activities","","Yes",NA,"",2,20,"PM",2019-01-16 14:20:00,220,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,5,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010022",2,25,"PM",2019-01-16 14:25:00,"Work activities","","Yes",NA,"",6,0,"PM",2019-01-16 18:00:00,215,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,6,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",6,5,"PM",2019-01-16 18:05:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-17 03:00:00,535,NA,"",NA,NA,""
"R_OjyM4QDKpQ4v2q5","R_31azKpDQ6qViwuL",1002,1,"","DIARY3",2019-01-29,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-29 03:00:00,"Home activities","","Yes",NA,"",2,10,"PM",2019-01-29 14:10:00,670,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_OjyM4QDKpQ4v2q5","R_31azKpDQ6qViwuL",1002,1,"","DIARY3",2019-01-29,2,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010022",2,20,"PM",2019-01-29 14:20:00,"Work activities","","Yes",NA,"",6,0,"PM",2019-01-29 18:00:00,220,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_OjyM4QDKpQ4v2q5","R_31azKpDQ6qViwuL",1002,1,"","DIARY3",2019-01-29,3,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",6,5,"PM",2019-01-29 18:05:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-30 03:00:00,535,NA,"",NA,NA,""
"R_25ti3ShvrcTVI7D","R_31azKpDQ6qViwuL",1002,1,"","DIARY4",2019-01-30,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-30 03:00:00,"Home activities","","Yes",NA,"",11,5,"AM",2019-01-30 11:05:00,485,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_25ti3ShvrcTVI7D","R_31azKpDQ6qViwuL",1002,1,"","DIARY4",2019-01-30,2,"Other place","","","","","",NA,NA,"","",FALSE,"490050011011",11,15,"AM",2019-01-30 11:15:00,"Shopping (groceries, clothing, convenience store, etc)","","Yes",NA,"",11,35,"AM",2019-01-30 11:35:00,20,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_25ti3ShvrcTVI7D","R_31azKpDQ6qViwuL",1002,1,"","DIARY4",2019-01-30,3,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",11,45,"AM",2019-01-30 11:45:00,"Home activities","","Yes",NA,"",2,20,"PM",2019-01-30 14:20:00,155,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_25ti3ShvrcTVI7D","R_31azKpDQ6qViwuL",1002,1,"","DIARY4",2019-01-30,4,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010022",2,25,"PM",2019-01-30 14:25:00,"Work activities","","Yes",NA,"",6,0,"PM",2019-01-30 18:00:00,215,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_25ti3ShvrcTVI7D","R_31azKpDQ6qViwuL",1002,1,"","DIARY4",2019-01-30,5,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",6,5,"PM",2019-01-30 18:05:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-31 03:00:00,535,NA,"",NA,NA,""
"R_1QnGyokCgudPL5v","R_31azKpDQ6qViwuL",1002,1,"","DIARY5",2019-02-21,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-02-21 03:00:00,"Home activities","","Yes",NA,"",9,15,"AM",2019-02-21 09:15:00,375,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_1QnGyokCgudPL5v","R_31azKpDQ6qViwuL",1002,1,"","DIARY5",2019-02-21,2,"Other place","","","","","",NA,NA,"","",TRUE,"160419701002",10,10,"AM",2019-02-21 10:10:00,"Social or entertainment activities (friends/relatives, movie, etc.)","","Yes",NA,"",11,0,"AM",2019-02-21 11:00:00,50,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_1QnGyokCgudPL5v","R_31azKpDQ6qViwuL",1002,1,"","DIARY5",2019-02-21,3,"Other place","","","","","",NA,NA,"","",FALSE,"490050004011",11,20,"AM",2019-02-21 11:20:00,"Shopping (groceries, clothing, convenience store, etc)","","Yes",NA,"",12,5,"PM",2019-02-21 12:05:00,45,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_1QnGyokCgudPL5v","R_31azKpDQ6qViwuL",1002,1,"","DIARY5",2019-02-21,4,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",12,20,"PM",2019-02-21 12:20:00,"Home activities","","Yes",NA,"",5,40,"PM",2019-02-21 17:40:00,320,"Walk","","0 (none)",NA,""
"R_1QnGyokCgudPL5v","R_31azKpDQ6qViwuL",1002,1,"","DIARY5",2019-02-21,5,"Other place","","","","","",NA,NA,"","",FALSE,"490050010022",5,50,"PM",2019-02-21 17:50:00,"Work- or school-related activities","","Yes",NA,"",7,30,"PM",2019-02-21 19:30:00,100,"Car/Van/Truck/SUV Passenger","","1","Primary household vehicle",""
"R_1QnGyokCgudPL5v","R_31azKpDQ6qViwuL",1002,1,"","DIARY5",2019-02-21,6,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",7,50,"PM",2019-02-21 19:50:00,"Home activities","","No",NA,"",3,0,"AM",2019-02-22 03:00:00,430,NA,"",NA,NA,""
"R_3oSKRCGxheNdE4s","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-14,1,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",3,0,"AM",2019-01-14 03:00:00,"Home activities","","Yes",NA,"",9,30,"AM",2019-01-14 09:30:00,390,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3oSKRCGxheNdE4s","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-14,2,"Primary job","","","","","",NA,NA,"","",FALSE,"490050008003",9,35,"AM",2019-01-14 09:35:00,"Work activities","","Yes",NA,"",11,45,"AM",2019-01-14 11:45:00,130,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3oSKRCGxheNdE4s","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-14,3,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",11,50,"AM",2019-01-14 11:50:00,"Home activities","","Yes",NA,"",1,20,"PM",2019-01-14 13:20:00,90,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3oSKRCGxheNdE4s","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-14,4,"Primary job","","","","","",NA,NA,"","",FALSE,"490050008003",1,25,"PM",2019-01-14 13:25:00,"Work activities","","Yes",NA,"",4,10,"PM",2019-01-14 16:10:00,165,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3oSKRCGxheNdE4s","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-14,5,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",4,25,"PM",2019-01-14 16:25:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-15 03:00:00,635,NA,"",NA,NA,""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,1,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",3,0,"AM",2019-01-15 03:00:00,"Home activities","","Yes",NA,"",7,15,"AM",2019-01-15 07:15:00,255,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,2,"Other place","","","","","",NA,NA,"","",FALSE,"490050013002",7,35,"AM",2019-01-15 07:35:00,"Civic or religious activities","","Yes",NA,"",10,0,"AM",2019-01-15 10:00:00,145,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,3,"Primary job","","","","","",NA,NA,"","",FALSE,"490050008003",10,20,"AM",2019-01-15 10:20:00,"Work activities","","Yes",NA,"",11,45,"AM",2019-01-15 11:45:00,85,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,4,"Other place","","","","","",NA,NA,"","",FALSE,"490050010021",11,50,"AM",2019-01-15 11:50:00,"Civic or religious activities","","Yes",NA,"",1,25,"PM",2019-01-15 13:25:00,95,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,5,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",1,35,"PM",2019-01-15 13:35:00,"Home activities","","Yes",NA,"",5,45,"PM",2019-01-15 17:45:00,250,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,6,"Other place","","","","","",NA,NA,"","",FALSE,"490050005022",5,55,"PM",2019-01-15 17:55:00,"Eat meal at restaurant","","Yes",NA,"",7,25,"PM",2019-01-15 19:25:00,90,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_3fpkttuhwgXosGe","R_a8HK19X41XQe8eJ",1003,1,"","DIARY12",2019-01-15,7,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",7,30,"PM",2019-01-15 19:30:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-16 03:00:00,450,NA,"",NA,NA,""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,1,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",3,0,"AM",2019-01-30 03:00:00,"Home activities","","Yes",NA,"",9,50,"AM",2019-01-30 09:50:00,410,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,2,"Primary job","","","","","",NA,NA,"","",FALSE,"490050008003",9,55,"AM",2019-01-30 09:55:00,"Work activities","","Yes",NA,"",11,55,"AM",2019-01-30 11:55:00,120,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,3,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",12,0,"PM",2019-01-30 12:00:00,"Home activities","","Yes",NA,"",1,40,"PM",2019-01-30 13:40:00,100,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,4,"Primary job","","","","","",NA,NA,"","",FALSE,"490050008003",1,45,"PM",2019-01-30 13:45:00,"Work activities","","Yes",NA,"",4,25,"PM",2019-01-30 16:25:00,160,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,5,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",4,30,"PM",2019-01-30 16:30:00,"Home activities","","Yes",NA,"",5,5,"PM",2019-01-30 17:05:00,35,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,6,"Other place","","","","","",NA,NA,"","",FALSE,"490050004011",5,10,"PM",2019-01-30 17:10:00,"Shopping (groceries, clothing, convenience store, etc)","","Yes",NA,"",5,15,"PM",2019-01-30 17:15:00,5,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_w0Qp7JSdtfRVW8x","R_a8HK19X41XQe8eJ",1003,1,"","DIARY4",2019-01-30,7,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",5,20,"PM",2019-01-30 17:20:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-31 03:00:00,580,NA,"",NA,NA,""
"R_2Pna2gRhbPHe9dj","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-14,1,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",3,0,"AM",2019-01-14 03:00:00,"Home activities","","Yes",NA,"",11,15,"AM",2019-01-14 11:15:00,495,"Car/Van/Truck/SUV Driver","","1","Other household vehicle (please describe)","secondary"
"R_2Pna2gRhbPHe9dj","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-14,2,"Other place","","","","","",NA,NA,"","",TRUE,"490050007022",11,30,"AM",2019-01-14 11:30:00,"Drop off or pick up passenger(s)","","Yes",NA,"",11,40,"AM",2019-01-14 11:40:00,10,"Car/Van/Truck/SUV Driver","","1","Other household vehicle (please describe)","secondary"
"R_2Pna2gRhbPHe9dj","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-14,3,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",11,50,"AM",2019-01-14 11:50:00,"Home activities","","Yes",NA,"",1,0,"PM",2019-01-14 13:00:00,70,"Car/Van/Truck/SUV Driver","","1","Other household vehicle (please describe)","secondary"
"R_2Pna2gRhbPHe9dj","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-14,4,"Other place","","","","","",NA,NA,"","",TRUE,"490050005012",1,10,"PM",2019-01-14 13:10:00,"Drop off or pick up passenger(s)","","Yes",NA,"",1,15,"PM",2019-01-14 13:15:00,5,"Car/Van/Truck/SUV Driver","","0 (none)","Other household vehicle (please describe)","secondary"
"R_2Pna2gRhbPHe9dj","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-14,5,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",1,20,"PM",2019-01-14 13:20:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-15 03:00:00,820,NA,"",NA,NA,""
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,1,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",3,0,"AM",2019-01-15 03:00:00,"Home activities","","Yes",NA,"",11,15,"AM",2019-01-15 11:15:00,495,"Car/Van/Truck/SUV Passenger","","1","Other household vehicle (please describe)","secondary vehcle"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,2,"Other place","","","","","",NA,NA,"","",TRUE,"490050007022",11,25,"AM",2019-01-15 11:25:00,"Drop off or pick up passenger(s)","","Yes",NA,"",11,40,"AM",2019-01-15 11:40:00,15,"Car/Van/Truck/SUV Passenger","","1","Other household vehicle (please describe)","secondary"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,3,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",11,50,"AM",2019-01-15 11:50:00,"Home activities","","Yes",NA,"",1,15,"PM",2019-01-15 13:15:00,85,"Car/Van/Truck/SUV Passenger","","1","Other household vehicle (please describe)","secondary"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,4,"Other place","","","","","",NA,NA,"","",TRUE,"490050005012",1,20,"PM",2019-01-15 13:20:00,"Drop off or pick up passenger(s)","","Yes",NA,"",1,30,"PM",2019-01-15 13:30:00,10,"Car/Van/Truck/SUV Passenger","","0 (none)","Other household vehicle (please describe)","secondary"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,5,"Other place","","","","","",NA,NA,"","",FALSE,"490050006002",1,40,"PM",2019-01-15 13:40:00,"Shopping (groceries, clothing, convenience store, etc)","","Yes",NA,"",1,40,"PM",2019-01-15 13:40:00,0,"Car/Van/Truck/SUV Passenger","","0 (none)","Other household vehicle (please describe)","secondary"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,6,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",1,40,"PM",2019-01-15 13:40:00,"Home activities","","Yes",NA,"",1,45,"PM",2019-01-15 13:45:00,5,"Car/Van/Truck/SUV Passenger","","0 (none)","Other household vehicle (please describe)","secondary"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,7,"Other place","","","","","",NA,NA,"","",FALSE,"490050004011",1,55,"PM",2019-01-15 13:55:00,"Other errands or appointments (bank, professional office, doctor/dentist, etc.)","","Yes",NA,"",3,55,"PM",2019-01-15 15:55:00,120,"Car/Van/Truck/SUV Passenger","","0 (none)","Other household vehicle (please describe)","secondary"
"R_2BwW2xz3Dr9JIL8","R_a8HK19X41XQe8eJ",1003,2,"","DIARY12",2019-01-15,8,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",4,5,"PM",2019-01-15 16:05:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-16 03:00:00,655,NA,"",NA,NA,""
"R_TnGDnOMcS2jZsqt","R_a8HK19X41XQe8eJ",1003,2,"","DIARY4",2019-01-30,1,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",3,0,"AM",2019-01-30 03:00:00,"Home activities","","Yes",NA,"",11,0,"AM",2019-01-30 11:00:00,480,"Car/Van/Truck/SUV Driver","","0 (none)","Other household vehicle (please describe)","SUV"
"R_TnGDnOMcS2jZsqt","R_a8HK19X41XQe8eJ",1003,2,"","DIARY4",2019-01-30,2,"Other place","","","","","",NA,NA,"","",FALSE,"490050008003",11,5,"AM",2019-01-30 11:05:00,"Other errands or appointments (bank, professional office, doctor/dentist, etc.)","","Yes",NA,"",11,15,"AM",2019-01-30 11:15:00,10,"Car/Van/Truck/SUV Driver","","0 (none)","Other household vehicle (please describe)","SUV"
"R_TnGDnOMcS2jZsqt","R_a8HK19X41XQe8eJ",1003,2,"","DIARY4",2019-01-30,3,"Other place","","","","","",NA,NA,"","",TRUE,"490050007022",11,30,"AM",2019-01-30 11:30:00,"Drop off or pick up passenger(s)","","Yes",NA,"",11,35,"AM",2019-01-30 11:35:00,5,"Car/Van/Truck/SUV Passenger","","1","Other household vehicle (please describe)","SUV"
"R_TnGDnOMcS2jZsqt","R_a8HK19X41XQe8eJ",1003,2,"","DIARY4",2019-01-30,4,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",11,45,"AM",2019-01-30 11:45:00,"Home activities","","Yes",NA,"",1,5,"PM",2019-01-30 13:05:00,80,"Car/Van/Truck/SUV Driver","","1","Other household vehicle (please describe)","SUV"
"R_TnGDnOMcS2jZsqt","R_a8HK19X41XQe8eJ",1003,2,"","DIARY4",2019-01-30,5,"Other place","","","","","",NA,NA,"","",TRUE,"490050007022",1,15,"PM",2019-01-30 13:15:00,"Drop off or pick up passenger(s)","","Yes",NA,"",1,15,"PM",2019-01-30 13:15:00,0,"Car/Van/Truck/SUV Driver","","0 (none)","Other household vehicle (please describe)","SUV"
"R_TnGDnOMcS2jZsqt","R_a8HK19X41XQe8eJ",1003,2,"","DIARY4",2019-01-30,6,"Home","","","","","",NA,NA,"","",FALSE,"490050006003",1,20,"PM",2019-01-30 13:20:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-31 03:00:00,820,NA,"",NA,NA,""
"R_AHRrvIKSHaZ9msV","R_DOEFGvXI2Xqxo1b",1004,1,"","DIARY12",2019-01-14,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-14 03:00:00,"Home activities","","Yes",NA,"",5,0,"PM",2019-01-14 17:00:00,840,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_AHRrvIKSHaZ9msV","R_DOEFGvXI2Xqxo1b",1004,1,"","DIARY12",2019-01-14,2,"Other place","","","","","",NA,NA,"","",FALSE,"490050008003",5,10,"PM",2019-01-14 17:10:00,"Eat meal at restaurant","","Yes",NA,"",5,40,"PM",2019-01-14 17:40:00,30,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_AHRrvIKSHaZ9msV","R_DOEFGvXI2Xqxo1b",1004,1,"","DIARY12",2019-01-14,3,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",5,50,"PM",2019-01-14 17:50:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-15 03:00:00,550,NA,"",NA,NA,""
"R_3hEAjxLV0ENOp1S","R_DOEFGvXI2Xqxo1b",1004,2,"","DIARY12",2019-01-14,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-14 03:00:00,"Home activities","","Yes",NA,"",7,15,"AM",2019-01-14 07:15:00,255,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3hEAjxLV0ENOp1S","R_DOEFGvXI2Xqxo1b",1004,2,"","DIARY12",2019-01-14,2,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010024",7,20,"AM",2019-01-14 07:20:00,"Work activities","","Yes",NA,"",10,15,"AM",2019-01-14 10:15:00,175,"Walk","","5+",NA,""
"R_3hEAjxLV0ENOp1S","R_DOEFGvXI2Xqxo1b",1004,2,"","DIARY12",2019-01-14,3,"Other place","","","","","",NA,NA,"","",FALSE,"490050010021",11,0,"AM",2019-01-14 11:00:00,"Social or entertainment activities (friends/relatives, movie, etc.)","","Yes",NA,"",12,0,"PM",2019-01-14 12:00:00,60,"Walk","","5+",NA,""
"R_3hEAjxLV0ENOp1S","R_DOEFGvXI2Xqxo1b",1004,2,"","DIARY12",2019-01-14,4,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010024",12,30,"PM",2019-01-14 12:30:00,"Work activities","","Yes",NA,"",3,40,"PM",2019-01-14 15:40:00,190,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
