"ResponseId","HHResponseId","HHCODE","PERCODE","PERNAME","CHANGES_TEXT","VALUES_1","VALUES_2","VALUES_3","VALUES_4","VALUES_5","VALUES_6","VALUES_7","VALUES_8","VALUES_9","VALUES_EGO","VALUES_ALT","VALUES_BIO","ATT_ENVR_1","ATT_ENVR_2","ATT_ENVR_3","ATT_ENVR_4","ATT_ENVR_5","ATT_ENVR_6","ATT_ENVR_7","ATT_ENVR_8","ATT_ENVR_9","ATT_ENVR_10","ATT_ENVR_11","ATT_ENVR_12","ATT_ENVR_13","ATT_ENVR_14","ATT_ENVR_15","ATT_ENVR_16","ATT_ENVR","ATT_ENVR_TECH","ATT_HEALTH_1","ATT_HEALTH_2","ATT_HEALTH_3","ATT_HEALTH_4","ATT_HEALTH_5","ATT_HEALTH_6","ATT_HEALTH_7","ATT_HEALTH_8","ATT_HEALTH","NORMS_ME_1","NORMS_ME_2","NORMS_ME_3","NORMS_ME_4","NORMS_ME_SELF","NORMS_ME_SELF_NO","NORMS_ME_OTHERS","NORMS_ME_OTHERS_NO","NORMS_PEER_1","NORMS_PEER_2","NORMS_PEER_3","NORMS_PEER_4","NORMS_PEER_SELF","NORMS_PEER_SELF_NO","NORMS_PEER_OTHERS","NORMS_PEER_OTHERS_NO","NORMS_ORGS_1","NORMS_ORGS_2","NORMS_ORGS_3","NORMS_ORGS_4","NORMS_ORGS_SELF","NORMS_ORGS_SELF_NO","NORMS_ORGS_OTHERS","NORMS_ORGS_OTHERS_NO","SELFEFF_1","SELFEFF_2","SELFEFF_3","SELFEFF_4","SELFEFF_5","SELFEFF_6","SELFEFF","AQ_IMPACTS_1","AQ_IMPACTS_2","AQ_IMPACTS_3","AQ_IMPACTS_4","AQ_IMPACTS_5","AQ_CAUSES_1","AQ_CAUSES_2","AQ_CAUSES_3","AQ_CAUSES_4","AQ_CAUSES_5","AQ_ME_1","AQ_ME_2","AQ_ME_3","AQ_ME_4","AQ_ME_5","AQ_ME_6","AQ_PEER_1","AQ_PEER_2","AQ_PEER_3","AQ_PEER_4","AQ_ORGS_1","AQ_ORGS_2","AQ_ORGS_3","AQ_ORGS_4","IDLING_1","IDLING_2","IDLING_3","IDLING_4","IDLING_5","IDLING_6","IDLING_6_TEXT","IDLING_LOGAN","IDLING","IDLING_LOGAN2","BEHCHG_ME_1","BEHCHG_ME_2","BEHCHG_ME_3","BEHCHG_ME_4","BEHCHG_ME_5","BEHCHG_ME_6","BEHCHG_ME_7","BEHCHG_ME_8","BEHCHG_ME_8_TEXT","BEHCHG_ME_9","BEHCHG_ME","BEHCHG_ME_MODE","BEHCHG_ME_TRIP","BEHCHG_ME_IDLE","BEHCHG_POP_1","BEHCHG_POP_2","BEHCHG_POP_3","BEHCHG_POP_4","BEHCHG_POP_5","BEHCHG_POP_6","BEHCHG_POP_7","BEHCHG_POP_8","BEHCHG_POP_8_TEXT","BEHCHG_POP_9","BEHCHG_POP","BEHCHG_POP_MODE","BEHCHG_POP_TRIP","BEHCHG_POP_IDLE","SUPPORT_1","SUPPORT_2","SUPPORT_3","SUPPORT_4","SUPPORT_5","SUPPORT_6","SUPPORT_7","SUPPORT_8","SUPPORT","OTHER_IDEAS","ORGPROG_1","ORGPROG_2","ORGPROG_3","ORGPROG_4","ORGPROG_5","ORGPROG_6","ORGPROG","COMMENTS"
"R_3ezyHoROzvnfT6f","R_C9PNqRBZPreskpz",1045,1,"","","Slightly important","Not at all important","Moderately important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important",1,3.33333333333333,4,"Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree",0.733333333333333,-0.5,"Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree",0.7,"Somewhat less","Much less","Somewhat more","Much more",0.5,FALSE,1,FALSE,"Somewhat more","About the same","No opinion","No opinion",-0.25,FALSE,0,FALSE,"Somewhat less","Somewhat less","No opinion","No opinion",0.25,FALSE,0.25,FALSE,"Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree",0.416666666666667,"A lot","A lot","A little","A little","Moderately","A lot","A lot","A lot","Moderately","A lot","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Rarely","Rarely","Rarely","Never","Never",NA,"",NA,0.15,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,4,TRUE,TRUE,TRUE,"20%","<5%","<5%","20%","<5%","35%","<5%",NA,"",NA,0.135714285714286,0.1,0.2,0.05,"I would strongly support this","I would strongly support this","I would strongly support this","I would strongly support this","I would strongly support this","I might support this","I would strongly support this","I would strongly support this",0.875,"","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Heard of it, but not familiar with it","Never heard of it",1,""
"R_1lAxwhPJvmpvEiz","R_C9PNqRBZPreskpz",1045,2,"","","Slightly important","Slightly important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Extremely important",1.33333333333333,3.66666666666667,4,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree",0.533333333333333,0,"Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree",0.6,"Somewhat less","Much less","Somewhat more","Much more",0.5,FALSE,1,FALSE,"No opinion","About the same","No opinion","About the same",0,TRUE,0,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",0.916666666666667,"A lot","A lot","A lot","A lot","A lot","Moderately","Moderately","A lot","Moderately","A lot","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Rarely","Rarely","Frequently","Sometimes","Never",NA,"","I have no idea.",0.35,"Don't know",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,4,TRUE,TRUE,TRUE,"<5%","<5%","<5%","20%","<5%","20%","20%",NA,"",NA,0.114285714285714,0.05,0.15,0.2,"I would strongly support this","I would strongly support this","I might support this","I would strongly support this","I might support this","I would strongly support this","I might support this","I might support this",0.5,"","Never heard of it","Never heard of it","Familiar with it","Heard of it, but not familiar with it","Familiar with it","Never heard of it",2.5,""
"R_RKLk7gVzAd5qvex","R_1IHuXoAFsbwblZf",1047,1,"","","Moderately important","Not at all important","Slightly important","Extremely important","Extremely important","Very important","Very important","Moderately important","Very important",1,3.66666666666667,2.66666666666667,"Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree",0.366666666666667,0.5,"Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree",0.6,"About the same","Somewhat less","Somewhat more","Somewhat more",0.25,FALSE,0.5,FALSE,"About the same","Somewhat less","Somewhat more","Somewhat more",0.25,FALSE,0.5,FALSE,"Somewhat less","Much less","Somewhat more","Somewhat more",0.5,FALSE,0.75,FALSE,"Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree",0.0833333333333333,"A lot","Moderately","Moderately","A lot","A lot","A lot","Moderately","A lot","Moderately","Moderately","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Rarely","Rarely","Sometimes","Never","Never",NA,"",NA,0.2,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"",FALSE,2,FALSE,TRUE,TRUE,"<5%","20%","<5%","<5%","<5%","20%","20%","<5%","",NA,0.114285714285714,0.1,0.1,0.2,"I might support this","I would strongly support this","I would strongly support this","I might support this","I would strongly support this","I would strongly support this","I might support this","I might support this",0.5,"","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Never heard of it","Heard of it, but not familiar with it","Never heard of it",2,""
"R_85L061mqvM8Uw5H","R_1IHuXoAFsbwblZf",1047,2,"","","Slightly important","Not at all important","Slightly important","Extremely important","Very important","Moderately important","Very important","Moderately important","Extremely important",0.666666666666667,3,3,"Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree",0.4,0,"Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree",0.8,"About the same","Somewhat less","Somewhat more","Much more",0.25,FALSE,0.75,FALSE,"About the same","Somewhat less","Somewhat more","Somewhat more",0.25,FALSE,0.5,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree",0.333333333333333,"A lot","Moderately","Moderately","A lot","Moderately","A lot","A lot","A lot","Moderately","A little","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Rarely","Rarely","Sometimes","Never","Never",NA,"","There are no anti-idling ordinances in Logan.",0.2,"Wrong",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,3,FALSE,TRUE,TRUE,"<5%","20%","<5%","35%","20%","20%","20%",NA,"",NA,0.178571428571429,0.1,0.25,0.2,"I might support this","I would strongly support this","I would strongly support this","I might support this","I would strongly support this","I would strongly support this","I might support this","I would strongly support this",0.625,"","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it",1,""
"R_Q3pjz2KUMMUacNz","R_2qqqE6DTjudAISu",1048,1,"","","Moderately important","Not at all important","Not at all important","Moderately important","Extremely important","Slightly important","Very important","Slightly important","Extremely important",0.666666666666667,2.33333333333333,2.66666666666667,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree",0.133333333333333,-0.5,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree",0.4,"About the same","No opinion","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"No opinion","About the same","No opinion","Somewhat more",0,TRUE,0.25,FALSE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree",0.25,"A lot","A lot","A lot","A lot","A lot","Not at all","A little","A lot","Not at all","A lot","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Never","Never","Sometimes","Never","Never",NA,"","There are no anti-idling ordinances in Logan.",0.1,"Wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"",FALSE,3,TRUE,TRUE,TRUE,"35%","20%","<5%","20%","<5%","<5%","35%",NA,"",NA,0.178571428571429,0.2,0.1,0.35,"I would strongly support this","I would strongly support this","I would strongly support this","I might support this","I might support this","I would never support this","I would strongly support this","I would never support this",0.25,"","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it",0.5,""
"R_2eaPKkfEwFE4cmN","R_2qqqE6DTjudAISu",1048,2,"","","Slightly important","Moderately important","Very important","Very important","Extremely important","Slightly important","Very important","Moderately important","Extremely important",2,2.66666666666667,3,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree",0.2,-0.5,"Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree",0.6,"About the same","About the same","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"About the same","Somewhat less","About the same","Somewhat more",0,FALSE,0.5,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree",-0.416666666666667,"A lot","A lot","A lot","A lot","A lot","Moderately","Moderately","A lot","A little","A lot","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Rarely","Rarely","Sometimes","Never","Rarely",NA,"","I have no idea.",0.25,"Don't know",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"",FALSE,4,TRUE,TRUE,TRUE,"<5%","<5%","<5%","20%","<5%","<5%","35%",NA,"",NA,0.114285714285714,0.05,0.1,0.35,"I would strongly support this","I would strongly support this","I would strongly support this","I might support this","I might support this","I might support this","I would strongly support this","I might support this",0.5,"","Never heard of it","Never heard of it","Never heard of it","Familiar with it","Familiar with it","Never heard of it",2,""
"R_BPyFbfHj1Fd5QWZ","R_2cpv28Yo9h8NenM",1049,1,"","","Moderately important","Very important","Very important","Slightly important","Very important","Very important","Very important","Very important","Very important",2.66666666666667,2.33333333333333,3,"Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree",-0.2,0.5,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree",0.5,"Somewhat less","Much less","Somewhat more","Much more",0.5,FALSE,1,FALSE,"Much more","Much less","Somewhat less","Somewhat less",-0.75,FALSE,0.25,FALSE,"Much more","Much less","Much more","Much more",0,FALSE,1,FALSE,"Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly disagree","Somewhat disagree",0.0833333333333333,"Moderately","Moderately","A lot","Moderately","A little","Not at all","Not at all","A lot","A little","Moderately","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Sometimes","Sometimes","Never","Never","Never",NA,"","I have no idea.",0.2,"Don't know",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"",FALSE,2,FALSE,TRUE,TRUE,"<5%","<5%","<5%","<5%","<5%","<5%","<5%",NA,"",NA,0.05,0.05,0.05,0.05,"I would strongly support this","I might support this","I would strongly support this","I might support this","I would strongly support this","I would never support this","I might support this","I would never support this",0.125,"","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Familiar with it","Familiar with it","Familiar with it","Never heard of it",4,""
"R_1kG5cN9WufyXCDY","R_2cpv28Yo9h8NenM",1049,2,"","","Moderately important","Slightly important","Moderately important","Very important","Moderately important","Very important","Moderately important","Moderately important","Moderately important",1.66666666666667,2.66666666666667,2,"Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree",0.233333333333333,0,"Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree",0.3,"Much less","Much less","Much more","Much more",1,FALSE,1,FALSE,"Much less","Much less","Much more",NA,1,FALSE,1,FALSE,"Much less","Much less","Much more","Much more",1,FALSE,1,FALSE,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree",-0.5,"Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","","I have no idea.",0.5,"Don't know",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,0,FALSE,FALSE,FALSE,"20%","<5%","<5%","20%","<5%","<5%","<5%",NA,"",NA,0.0928571428571429,0.1,0.1,0.05,"I might support this","I might support this","I might support this","I might support this","I would never support this","I would never support this","I might support this","I would never support this",-0.375,"","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it",0.5,""
"R_2rAAoQJ8kgTEgMD","R_PBQSkn3yFLyraLL",1050,1,"","","Slightly important","Slightly important","Moderately important","Very important","Moderately important","Very important","Extremely important","Very important","Extremely important",1.33333333333333,2.66666666666667,3.66666666666667,"Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree",0.6,0.5,"Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree",0.7,"Somewhat less","Somewhat less","Much more","Much more",0.75,FALSE,0.75,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree",0.416666666666667,"A lot","A lot","Moderately","Moderately","Moderately","A lot","A lot","A lot","A lot","Moderately","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No opinion","Rarely","Never","Never","Never","Never",NA,"",NA,0.05,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"",FALSE,6,TRUE,TRUE,TRUE,"<5%","<5%","<5%","20%","<5%","<5%","35%",NA,"",NA,0.114285714285714,0.05,0.1,0.35,"I would strongly support this","I might support this","I might support this","I would strongly support this","I would strongly support this","I would strongly support this","I might support this","I might support this",0.5,"","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Familiar with it","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Never heard of it",3,""
"R_1NCF7Lgtg68iBuX","R_PBQSkn3yFLyraLL",1050,2,"","","Slightly important","Slightly important","Slightly important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important",1,4,3.66666666666667,"Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree",0.9,-1,"Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree",0.5,"Somewhat less","Somewhat less","Somewhat more","Much more",0.5,FALSE,0.75,FALSE,"Somewhat less","Somewhat less","About the same","Much more",0.25,FALSE,0.75,FALSE,"Somewhat less","Somewhat less","Somewhat more","Much more",0.5,FALSE,0.75,FALSE,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree",0.5,"A lot","A little","A little","Moderately","A lot","Moderately","A little","A lot","A lot","Moderately","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Rarely","Rarely","Rarely","Rarely","Rarely",NA,"",NA,0.25,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"",FALSE,6,TRUE,TRUE,TRUE,"20%","35%","35%","20%","20%","<5%","<5%",NA,"",NA,0.2,0.3,0.15,0.05,"I might support this","I would strongly support this","I would strongly support this","I might support this","I would strongly support this","I would strongly support this","I might support this","I would never support this",0.375,"","Familiar with it","Never heard of it","Familiar with it","Familiar with it","Familiar with it","Heard of it, but not familiar with it",4.5,""
"R_3Hof5if7IuN0MVH","R_3etcpDpTn6FooDx",1051,1,"","","Slightly important","Slightly important","Moderately important","Very important","Extremely important","Very important","Very important","Slightly important","Very important",1.33333333333333,3.33333333333333,2.33333333333333,"Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree",0.166666666666667,0.5,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree",0.9,"About the same","About the same","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"About the same","About the same","About the same","About the same",0,FALSE,0,FALSE,"Somewhat less","About the same","Much more","Much more",0.75,FALSE,0.5,FALSE,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree",-0.5,"A lot","A lot","A lot","A little","A little","A little","A little","A lot","Not at all","A lot","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Always","Frequently","Sometimes","Sometimes","Never",NA,"",NA,0.55,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,0,FALSE,FALSE,FALSE,"<5%","<5%","<5%","20%","<5%","<5%","20%",NA,"","65%",0.0928571428571429,0.05,0.1,0.2,"I might support this","I would never support this","I would strongly support this","I would strongly support this","I might support this","I would never support this","I might support this","I would never support this",-0.125,"","Heard of it, but not familiar with it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it",0.5,""
"R_27lBzye4biSVwDR","R_3etcpDpTn6FooDx",1051,2,"","","Moderately important","Slightly important","Very important","Very important","Extremely important","Extremely important","Very important","Very important","Very important",2,3.66666666666667,3,"Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree",-0.166666666666667,1,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree",0.9,"About the same","About the same","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"About the same","About the same","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"Somewhat less","Somewhat less","Much more","Much more",0.75,FALSE,0.75,FALSE,"Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree",-0.583333333333333,"Moderately","Moderately","Moderately","Moderately","Moderately","A lot","A lot","Moderately","A little","A little","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Frequently","Sometimes","Never","Sometimes","Never",NA,"",NA,0.35,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"",FALSE,2,FALSE,TRUE,TRUE,"20%","20%","<5%","35%","<5%","20%","35%",NA,"",NA,0.2,0.15,0.2,0.35,"I might support this","I would strongly support this","I would strongly support this","I might support this","I would never support this","I would never support this","I might support this","I would never support this",-0.125,"","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Never heard of it","Familiar with it","Heard of it, but not familiar with it","Heard of it, but not familiar with it",3,""
"R_tDGyW8Pozkc8B0d","R_6MejJARqvqszdct",1053,1,"","","Slightly important","Moderately important","Very important","Very important","Slightly important","Very important","Very important","Moderately important","Very important",2,2.33333333333333,2.66666666666667,"Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree",0.0666666666666667,0,"Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree",0.2,"Somewhat less","Somewhat less","Much more","Much more",0.75,FALSE,0.75,FALSE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"About the same","About the same","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree",0.666666666666667,"A lot","A lot","Moderately","Moderately","Moderately","Moderately","Moderately","A lot","A lot","Moderately","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Frequently","Rarely","Never","Rarely","Rarely",NA,"","I have no idea.",0.3,"Don't know",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,0,FALSE,FALSE,FALSE,"<5%","<5%","<5%","<5%","<5%","<5%","20%",NA,"",NA,0.0714285714285714,0.05,0.05,0.2,"I would strongly support this","I might support this","I would strongly support this","I might support this","I would strongly support this","I would strongly support this","I might support this","I might support this",0.5,"","Never heard of it","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Familiar with it","Never heard of it","Never heard of it",2,""
